name,slug,website,one_liner,long_description,batch,status,team_size,industry,subindustry,regions,all_locations,tags,founders,founder_names,founder_linkedins,yc_url
Groww,groww,https://groww.in,"Making financial services simple, transparent and delightful. ","Groww aims to empower people in India by making financial services simple, transparent and delightful. By leveraging technology, we build reliable and accessible financial services. 

Groww is India's largest stock broker (in terms of active NSE clients) and the largest distributor of mutual fund SIPs. 
",Winter 2018,Public,1050,Fintech,Fintech -> Asset Management,"['India', 'South Asia']","Bengaluru, KA, India","['India', 'Investing']",,,,https://www.ycombinator.com/companies/groww
Meesho,meesho,http://www.meesho.com,Democratizing internet commerce for everyone in India,"Meesho is India’s only true online marketplace, altering the status quo to make e-commerce inclusive and accessible for the next billion users. With a vision to enable 100 million small businesses, including individual entrepreneurs, to succeed online, Meesho is democratising internet commerce and bringing a range of products and new customers online. The Meesho marketplace provides sellers access to millions of customers, selections from over 30 categories, pan-India logistics, payment services and customer support capabilities to efficiently run their businesses. 

",Summer 2016,Public,1450,B2B,B2B -> Retail,"['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, KA, India","['E-commerce', 'Retail']",,,,https://www.ycombinator.com/companies/meesho
Razorpay,razorpay,https://razorpay.com,India's only full-stack financial solutions company for businesses.,"The journey of building Razorpay started in 2014, when Harshil Mathur (CEO & Co-Founder) and Shashank Kumar (MD & Co-Founder) witnessed the dismal state of the online payments industry in India then and understood that they have a larger and more important issue to solve. And That was democratizing online payments for Indian businesses, particularly the underserved market, Startups and SMEs. Over the last 9 years, Razorpay has evolved from a single-product company to a multi-product company, from an online payment gateway to India’s only full-stack financial solutions company, offering payments and banking solutions to businesses.  Razorpay today is transforming age-old complexities and changing every known paradigm of money movement for disruptive businesses.

Over the last couple of years, Razorpay’s growth has evolved to be an index of India’s digital economy. From a kirana shop in Kashmir collecting payments on our POS device to a textile exporter in Kanyakumari accepting dollars through our International Payments product, Razorpay has revolutionised how businesses have traditionally transacted and interacted with money. 

Razorpay became the first and only Indian fintech to build a full-stack international Payment Gateway ‘Curlec by Razorpay’ and evolved into a comprehensive provider of payment solutions, leveraging the synergy between cutting-edge technological capabilities and a profound understanding of the local payment ecosystem. The introduction of the new Curlec Payment Gateway aims to cater to a wide spectrum of businesses, expanding its reach to over 5,000 establishments. 

Be it for international expansion or solving for Indian businesses, for Razorpay, the customer has always been at the core of all disruption, from addressing evolving needs to delivering new solutions. This hyperfocus helped bring Razorpay’s several industry-first innovations into the market since 2014. Razorpay became the first to launch a completely digital on-boarding process for startups, first to launch support for UPI, first to launch support for Bharath QR, first to introduce recurring payments for businesses through Razorpay Route, automating payment receipts and later automate payouts and making the entire process seamless and optimized and many more were introduced aling the way. Other firsts include: - First to launch India’s Multi-Network Tokenisation solution, TokenHQ - Razorpay became India’s first payment gateway to support credit cards on UPI - Razorpay also became India’s largest omnichannel payment gateway for businesses post acquiring Ezetap which is India’s leading offline POS company that was founded with the aim to simplify the in-person offline payments experience.

Over the years, Razorpay’s valuation has jumped from $1 billion to $7.5 billion and has added a host of marquee investors to its captable. Razorpay is also the second Indian company to be a part of Silicon Valley’s largest tech accelerator, Y Combinator. Marquee investors such as Lone Pine Capital, Alkeon Capital, TCV, GIC, Tiger Global, Sequoia Capital India, Ribbit Capital, Matrix Partners, Salesforce Ventures, Y Combinator, and MasterCard have invested a total of $741.5 Mn through Series A, B, C, D, E and F funding. The last financing round of Series F led the company’s valuation to $7.5 Billion signaling one of the fastest increases in valuation for an Indian Unicorn. 

Razorpay has also made acquisitions with like-minded companies over the last 9 years. In total, till date, Razorpay has made eight acquisitions, Billme in 2023 - A Digital invoice and customer Engagement, Ezetap in 2022 - India’s leading offline POS company, PoshVine in 2022 - India’s leading loyalty and reward management platform, IZealiant in 2022 - A mobile-first, API-enabled, and cloud-ready payment solution and made its first international foray in South-East Asia by announcing its acquisition of Curlec in 2022 - A recurring payments platform. TeraFin Labs in 2021 - the AI-based SaaS platform that facilitates digital financing solutions, Opfin (Now RazorpayX Payroll) in 2019 -  The payroll management solution and Thirdwatch in 2019, the first acquisition - The AI-powered fraud detection platform.

All these efforts are being done in collaboration with banks, regulators, and stakeholders so that India can build a better place for small and big businesses. Today, Razorpay powers online payments for 76 Of 100 startup unicorns and millions of businesses in India. The core premise of what Razorpay was founded in 2014 and what it is today hasn’t changed. It is to make money movement simpler and easier, whether it is for businesses to receive money, send money, or manage money. 

",Winter 2015,Active,2700,Fintech,Fintech -> Payments,"['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, KA, India","['Banking as a Service', 'Fintech', 'Payments', 'India']",,,,https://www.ycombinator.com/companies/razorpay
Zepto,zepto,https://www.zeptonow.com/,10-Minute Grocery Delivery in India,"We deliver groceries in 10 minutes through a network of optimized micro-warehouses or 'dark stores' that we build across cities in India.

We're currently doing hundreds of millions of dollars in annual sales with best-in-class unit economics - come join us!",Winter 2021,Active,1300,Consumer,Consumer -> Food and Beverage,"['India', 'South Asia', 'Remote', 'Partly Remote']","MH, India","['Grocery', 'Delivery']",,,,https://www.ycombinator.com/companies/zepto
RedCarpetUp,redcarpetup,http://redcarpetup.com,Credit cards for Indians that banks cannot see,"RedCarpet issues credit cards to those that banks cannot see. Currently we are one of the largest issuers of credit lines to the new-to-credit customer in India.
In a population base of 800 million people with bank accounts, there are less than 40 million credit cards. 
By building a fullstack SDK for card issuance, underwriting as well as holding capital & collection ops, we are looking to build the Capital One of India.
",Summer 2015,Active,100,Fintech,Fintech -> Consumer Finance,"['India', 'South Asia', 'Remote', 'Fully Remote']","Gurugram, HR, India; Remote","['Fintech', 'India']",,,,https://www.ycombinator.com/companies/redcarpetup
Drip Capital,drip-capital,http://dripcapital.com,Digital trade finance and B2B commerce company,"Drip is a financial technology company building modern infrastructure to make trade finance and B2B commerce easy and accessible for small businesses worldwide. Its AI native, predictive underwriting, and processing engine streamlines credit assessment and automates end-to-end transaction workflows. To date, Drip has facilitated more than $8 billion in cross-border trade for 11,000 businesses across 60 countries.
Working to close the $1.8 trillion global trade finance gap, Drip enables small and midsize businesses to trade with confidence across borders. The company has built a strong partner ecosystem — including leading capital providers such as Barclays, TD Bank, and the IFC, as well as logistics firms, insurance brokers, and B2B invoicing platforms — to expand distribution and impact. Drip is backed by global investors including Accel, Sequoia, Wing VC, Sumitomo Mitsui Banking Corporation, GMO Payments, TD Bank, and Y Combinator.",Summer 2015,Active,280,Fintech,Fintech,"['India', 'South Asia', 'Remote', 'Partly Remote']","MH, India",['Fintech'],,,,https://www.ycombinator.com/companies/drip-capital
Clear,cleartax,https://clear.in/,"Fintech SaaS platform for invoices, taxes, wealth management & credit.","
Our mission is to simplify finances, save money and time for millions of Indian businesses and people. We are a technology company that builds trusted, useful and insightful platforms for our clients to run their finances and improve their relationship with money.",Summer 2014,Active,900,Fintech,Fintech -> Consumer Finance,"['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, KA, India",[],,,,https://www.ycombinator.com/companies/cleartax
Noora Health,noora-health,http://noorahealth.org,Training patients and their families with health skills,"Noora Health trains patient families with high-impact health skills that improve outcomes and save lives. Our model provides basic yet vital care knowledge through trusted providers by creating a scalable program for caregiving education and training within
the established healthcare system. This model expands the care umbrella
to include those closest to the patient — their family and community. Noora Health has trained over 30 million caregivers and patients across over 12,400 healthcare facilities in India, Bangladesh, Indonesia, and Nepal. The program reduces cardiac surgery complications by 71%, newborn readmissions by 56%, and neonatal mortality by 18%. By 2028, Noora Health will expand to reach over 70 million caregivers and
patients. ",Winter 2014,Active,500,Healthcare,Healthcare,"['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, KA, India",['Consumer Health Services'],,,,https://www.ycombinator.com/companies/noora-health
Bolna AI,bolna-ai,https://bolna.ai,Voice AI to enable India's next billion,"Bolna handles the complexity of voice infra, so enterprises can automate calls faster, better, and cheaper, at scale

Bolna is a Voice AI Orchestration platform purpose-built for Indian enterprises.
Businesses in India run tens of thousands of calls every day - across sales, support, collections, recruitment, and more. Bolna gives them the power to build and deploy Voice AI Agents directly from their transcripts and FAQs, so they can start automating calls immediately.

With Bolna, enterprises get:

1. Full control over agent intelligence, tone, and workflows
2. Cost efficiency at scale with smart routing across providers and price points
3. Enterprise-grade performance on latency, interruptions, multi-language, and multi-accent understanding

",Fall 2025,Active,21,B2B,B2B,"['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, KA, India","['Artificial Intelligence', 'B2B', 'Infrastructure', 'Conversational AI']",,,,https://www.ycombinator.com/companies/bolna-ai
Truffle AI,truffle-ai,https://www.trytruffle.ai/,AWS for AI Agents,Truffle AI makes it easy for developers to integrate AI agents into any software application. We do this by exposing agents as simple APIs that can be called from anywhere. Developers have used Truffle to add customer support agents into WhatsApp and analytics agents into Slack.,Winter 2025,Active,2,B2B,"B2B -> Engineering, Product and Design","['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, India","['Artificial Intelligence', 'Developer Tools', 'Generative AI', 'Infrastructure', 'AI Assistant']",,,,https://www.ycombinator.com/companies/truffle-ai
